word,superlative
Alt,A1ltesten
Schnell,Schnellsten
Gut,Besten
Viel,Meisten
Nah,Na!chsten
Ruhig,Ruhigsten
Hoch,Ho!chsten
Gros!,Gro!s!ten
Laut,Lautesten
Modern,Modernsten
Jung,Ju!ngsten
Heis!,Heis!esten
Klein,Kleinsten
Hell,Hellsten
Scho!n,Scho!nsten
Dunkel,Dunkelsten
Warm,Wa!rmsten
Gesund,Gesu!ndesten
Lang,La!ngsten
Kalt,Ka!ltesten
Hart,Ha!rtesten
Klug,Klu!gsten
Stark,Sta!rtksten
Gern,Liebsten
Teuer,Teuersten
Billig,Billigsten
Bald,Ehesten
Langsam,Langsamsten
Schwer,Schwersten
Dumm,Du!mmsten
Langweilig,Langweiligsten
Dick,Dicksten
Oft,O!ftesten
Schwarz,Schwa!rzesten
Leicht,Leichtesten
Breit,Breitesten
