german,english
das Fru!hstu!ck,the breakfest
das Mittagessen,the lunch
das Abendessen,the dinner
die Dessert,the dessert
die Rechnung,the bill
das Restaurant,the restaurant
das Messer,the knife
die Gabel,the fork
der Lo!ffel,the spoon
der Teller,the plate
die Schu!ssel,the bowel
der Schlu!ssel,the key
die Ku!che,the kitchen
das Esszimmer,the dinning room
das Essen,the food
schneiden,to cut
mischen,to mix
aufheizen,to heat
braten,to fry
grillen,to grill
backen,to bake
ru!hren,to stir
kochen,to cook
putzen,to clean
waschen,to wash
wischen,to wipe off
abbru!hen,boil shortly
aufkochen,bring to boil
der Ku!chentheke,the kitchen counter
das Waschbecken,the basin
das Geschirrspu!lmittel,the dishwashing detergent
die Geschirrspu!lmaschine,the dishwasher
das Geschirrtuch,the dish cloth
der Herd,the stove
der Ofen,the oven
die Mikrowelle,the microwave
der Toaster,the toaster
der Ku!hlschrank,the fridge
der Gefrierschrank,the freezer
der Ku!chenschrank,the kitchen cabinet
das Glas,the glass
die Flasche,the bottle
einschenken,to pour
das Geschirr,the dishes
der Topf,the pot
die Pfanne,the pan
die Gewu!rze,the spices
das Bro!tchen,the bread rolls
das Weis!brot,the white bread
die Butter,the butter
Die Margarine,the margarine
der Joghurt,the yoghurt
der Honig,the honey
das Ei,the egg
Die Eier,the eggs
das Ru!hrei,the scrambled egg
das Spiegelsei,the fried egg
der Ka!se,the cheese
Die Wurst,the sausage
Die Marmelade,the jam/marmalade
der Schinken,the ham
Der Kaffee,the coffee
der Tee,the tea
die Milch,the milk
der Salat,the salad
die Kartoffel,the potato
die Bratkartoffel,the fried potato
das Kartoffelpu!ree,the mashed potato
die Pommes Frites,the french fries
das Gemu!se,the vegetables
der Blumenkohl,the cauliflower
die Tomate,the tomato
der Spinat,the spinach
der Kohl,the cabbage
der Mais,the sweetcorn
der Spargel,the asparagus
der Pilz,the mushrooms
die Karotte,the carrot
die Zwiebel,the onion
die Erbse,the peas
die Bohne,the beans
Der Lauch,the leek
der Mu!sli,the muesli
das Fleisch,the meat
das Rindfleisch,the beef
das Schweinefleisch,the pork
das Kalbfleisch,the veal
das Geflu!gel,the poultry
der Fisch,the fish
das Ha!hnchen,the chicken
das Lamm,the lamb
der Speck,the bacon
das Schnitzel,the austrian style fried slice of meat
die Spa!tzle,the south german-style pasta)
die Brezel,the pretzel
der Kno!del,the dumplings
der Reis,the rice
die Nudeln,the pasta
das Mehl,the flour
der Essig,the vinegar
das O!l,the oil
das Brot,the bread
Die Wurst,the sausage
der Lachs,the salmon
der Senf,the mustard
das Ketchup,the ketchup
die Gurke,the gherkins
das Bier,the beer
der Wein,the wine
das Wasser,the water
das Salz,the salt
der Pfeffer,the pepper
die Schokolade,the chocolate
der Kuchen,the cake
das Bonbon,the small sweet or dessert
die Nuss,the nut
der Keks,the cookie
das Eis,the ice cream
die Sahne,the cream
der Zucker,the sugar
die Su!s!igkeiten,the small sweet-things
die Rosine,the raisins
der Su!s!stoff,the sweetener
das Obst,the fruit
der Apfel,the apple
die Birne,the pear
die Banane,the banana
die Orange,the orange
die Zitrone,the lemon
der Pfirsich,the peach
die Pflaume,the plum
die Traube,the grape
die Erdbeere,the strawberry
die Himbeere,the raspberry
die Kirsche,the cherry
die Pizza,the pizza
